0,1,2
1890 American Association Team ReviewPitching Statistics League Leaderboard,,
Statistic,Team,#
Complete Games,Rochester,122
Toledo,,
ERA,Louisville,2.57
Fewest Hits Allowed,Columbus,976
Fewest Home Runs Allowed,Philadelphia,17
Fewest Walks Allowed,Louisville,293
Saves,Louisville,7
Shutouts,Columbus,14
Strikeouts,St. Louis,733
Seasonal Events: All-Star Game | World SeriesNavigation:Year in Review Menu|Previous Season|Next SeasonMiscellaneous:P.L. Leaderboard|N.L. LeaderboardRetirements|Rookies List,,
