0,1,2,3,4
1931 National League Pitcher ReviewPitching Statistics League Leaderboard,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Red Lucas,Cincinnati,24,Top 25
ERA,Bill Walker,New York,2.26,Top 25
Games,Jumbo Elliott,Philadelphia,52,Top 25
Saves,Jack Quinn,Brooklyn,15,Top 25
Shutouts,Bill Walker,New York,6,Top 25
Strikeouts,Bill Hallahan,St. Louis,159,Top 25
Winning Percentage,Paul Derringer,St. Louis,.692,Top 25
Wins,Jumbo Elliott,Philadelphia,19,Top 25
Bill Hallahan,St. Louis,,,
Heinie Meine,Pittsburgh,,,
Statistic,Name(s),Team(s),#,Top 25
