0,1,2,3,4
1979 National League Pitcher Review←1978| 1979 Pitching Statistics League Leaders |1980→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Phil Niekro,Atlanta,23,Top 25
ERA,J.R. Richard,Houston,2.71,Top 25
Games,Kent Tekulve,Pittsburgh,94,Top 25
Saves,Bruce Sutter,Chicago,37,Top 25
Shutouts,Phil Niekro,Atlanta,5,Top 25
Steve Rogers,Montreal,,,
Tom Seaver,Cincinnati,,,
Strikeouts,J.R. Richard,Houston,313,Top 25
Winning Percentage,Tom Seaver,Cincinnati,.727,Top 25
Wins,Joe Niekro,Houston,21,Top 25
Phil Niekro,Atlanta,,,
Statistic,Name(s),Team(s),#,Top 25
1979 N.L. History |1979 A.L. History|Year-by-Year History,,,,
