0,1,2,3,4,5
1979 National League Team Standings1979 All-Star Game| 1979 Team Standings |1979 World Series,,,,,
East,Team [Click for roster],Wins,Losses,WP,GB
Pittsburgh Pirates,98,64,.605,0,
Montreal Expos,95,65,.594,2,
St. Louis Cardinals,86,76,.531,12,
Philadelphia Phillies,84,78,.519,14,
Chicago Cubs,80,82,.494,18,
New York Mets,63,99,.389,35,
West,Team [Click for roster],Wins,Losses,WP,GB
Cincinnati Reds,90,71,.559,0,
Houston Astros,89,73,.549,1½,
Los Angeles Dodgers,79,83,.488,11½,
San Francisco Giants,71,91,.438,19½,
San Diego Padres,68,93,.422,22,
Atlanta Braves,66,94,.413,23½,
N.L.,Team [Click for roster],Wins,Losses,WP,GB
National League Team Standings,,,,,
