0,1,2,3,4,5
1984 National League Team Standings1984 All-Star Game| 1984 Team Standings |1984 World Series,,,,,
East,Team | Roster,W,L,WP,GB
Chicago Cubs,96,65,.596,0,
New York Mets,90,72,.556,6½,
St. Louis Cardinals,84,78,.519,12½,
Philadelphia Phillies,81,81,.500,15½,
Montreal Expos,78,83,.484,18,
Pittsburgh Pirates,75,87,.463,21½,
West,Team | Roster,W,L,WP,GB
San Diego Padres,92,70,.568,0,
Houston Astros,80,82,.494,12,
Atlanta Braves,80,82,.494,12,
Los Angeles Dodgers,79,83,.488,13,
Cincinnati Reds,70,92,.432,22,
San Francisco Giants,66,96,.407,26,
N.L.,Team | Roster,W,L,WP,GB
National League Team Standings,,,,,
