0,1,2
1988 National League Team ReviewPitching Statistics League Leaderboard,,
Statistic,Team,#
Complete Games,Los Angeles,32
ERA,New York,2.91
Fewest Hits Allowed,New York,"1,253"
Fewest Home Runs Allowed,New York,78
Fewest Walks Allowed,New York,404
Saves,Los Angeles,49
Shutouts,Los Angeles,24
Strikeouts,New York,"1,100"
"Seasonal Events:All-Star Game|Draft|Home Run Derby|World SeriesNavigation:Year in Review Menu|Previous Season|Next SeasonMiscellaneous:A.L. Leaderboard|Retirements|Rookies ListAverage Salary: $438,729.00Minimum Salary: $62,500.00",,
