0,1,2,3,4,5,6
1997 National LeagueTeam Standings,,,,,,
East,Team | Roster,Wins,Losses,WP,GB,Payroll
Atlanta Braves,101,61,.623,0,"$53,111,000",
Florida Marlins,92,70,.568,9,"$52,465,000",
New York Mets,88,74,.543,13,"$34,985,330",
Montreal Expos,78,84,.481,23,"$18,010,500",
Philadelphia Phillies,68,94,.420,33,"$31,102,439",
Central,Team | Roster,Wins,Losses,WP,GB,Payroll
Houston Astros,84,78,.519,0,"$34,932,500",
Pittsburgh Pirates,79,83,.488,5,"$15,124,166",
Cincinnati Reds,76,86,.469,8,"$38,206,000",
St. Louis Cardinals,73,89,.451,11,"$50,224,167",
Chicago Cubs,68,94,.420,16,"$30,791,000",
West,Team | Roster,Wins,Losses,WP,GB,Payroll
San Francisco Giants,90,72,.556,0,"$43,067,378",
Los Angeles Dodgers,88,74,.543,2,"$48,472,321",
Colorado Rockies,83,79,.512,7,"$46,093,301",
San Diego Padres,76,86,.469,21,"$32,765,172",
National League Team Standings,,,,,,
