0,1,2,3,4,5,6,7
2005 National LeagueTeam Standings,,,,,,,
East,Team [Click for roster],Wins,Losses,Ties,WP,GB,Payroll
Atlanta Braves,90,72,0,.556,--,"$86,457,302",
Philadelphia Phillies,88,74,0,.543,2,"$95,522,000",
Florida Marlins,83,79,0,.512,7,"$60,408,823",
New York Mets,83,79,0,.512,7,"$101,305,821",
Washington Nationals,81,81,0,.500,9,"$48,581,500",
Central,Team [Click for roster],Wins,Losses,Ties,WP,GB,Payroll
St. Louis Cardinals,100,62,0,.617,--,"$92,106,833",
Houston Astros,89,73,0,.549,11,"$76,779,000",
Milwaukee Brewers,81,81,0,.500,19,"$39,934,833",
Chicago Cubs,79,83,0,.488,21,"$87,032,933",
Cincinnati Reds,73,89,0,.451,27,"$61,892,583",
Pittsburgh Pirates,67,95,0,.414,33,"$38,133,000",
West,Team [Click for roster],Wins,Losses,Ties,WP,GB,Payroll
San Diego Padres,82,80,0,.506,--,"$63,290,833",
Arizona Diamondbacks,77,85,0,.475,5,"$62,329,166",
San Francisco Giants,75,87,0,.463,7,"$90,199,500",
Los Angeles Dodgers,71,91,0,.438,11,"$83,039,000",
Colorado Rockies,67,95,0,.414,15,"$48,155,000",
"Seasonal Events:All-Star Game|Draft|HR Derby|World SeriesNavigation:Year in Review Menu|Previous Season|Next SeasonMiscellaneous:A.L. Leaderboard| Retirements|Rookies ListAverage Salary: $2,632,655.00Minimum Salary: $316,000.00",,,,,,,
