0,1,2,3,4,5,6,7
2007 National League Standings2007 All-Star Game| 2007 N.L. Team Standings |2007 World Series,,,,,,,
East,Team | Roster,Wins,Losses,Ties,WP,GB,Payroll
Philadelphia Phillies,89,73,0,.549,--,"$89,428,213",
New York Mets,88,74,0,.543,1,"$115,231,663",
Atlanta Braves,84,78,0,.519,5,"$87,290,833",
Washington Nationals,73,89,0,.451,16,"$37,347,500",
Florida Marlins,71,91,0,.438,18,"$30,507,000",
Central,Team | Roster,Wins,Losses,Ties,WP,GB,Payroll
Chicago Cubs,85,77,0,.525,--,"$99,670,332",
Milwaukee Brewers,83,79,0,.512,2,"$70,986,500",
St. Louis Cardinals,78,84,0,.481,7,"$90,286,823",
Houston Astros,73,89,0,.451,12,"$87,759,000",
Cincinnati Reds,72,90,0,.444,13,"$68,904,980",
Pittsburgh Pirates,68,94,0,.420,17,"$38,537,833",
West,Team | Roster,Wins,Losses,Ties,WP,GB,Payroll
Arizona Diamondbacks,90,72,0,.556,--,"$52,067,546",
Colorado Rockies,90,73,0,.552,½,"$54,424,000",
San Diego Padres,89,74,0,.546,1½,"$58,110,567",
Los Angeles Dodgers,82,80,0,.506,8,"$108,454,524",
San Francisco Giants,71,91,0,.438,19,"$90,219,056",
N.L.,Team | Roster,Wins,Losses,Ties,WP,GB,Payroll
2007 National League Final Standings,,,,,,,
