0,1,2,3,4,5,6
2025 National League Team Standings2025 All-Star Game| 2025 Team Standings |2025 World Series,,,,,,
East,Team | Roster,W,L,T,WP,GB
New York Mets,45,28,0,.616,-,
Philadelphia Phillies,43,30,0,.589,2.0,
Atlanta Braves,32,39,0,.451,12.0,
Washington Nationals,30,43,0,.411,15.0,
Miami Marlins,29,42,0,.408,15.0,
Central,Team | Roster,W,L,T,WP,GB
Chicago Cubs,45,28,0,.616,-,
Milwaukee Brewers,39,35,0,.527,6.5,
Cincinnati Reds,38,35,0,.521,7.0,
St. Louis Cardinals,38,35,0,.521,7.0,
Pittsburgh Pirates,29,45,0,.392,16.5,
West,Team | Roster,W,L,T,WP,GB
Los Angeles Dodgers,45,29,0,.608,-,
San Francisco Giants,41,32,0,.562,3.5,
San Diego Padres,39,33,0,.542,5.0,
Arizona Diamondbacks,36,36,0,.500,8.0,
Colorado Rockies,16,57,0,.219,28.5,
N.L.,Team | Roster,W,L,T,WP,GB
2025 National League Standings,,,,,,
